ID,LEXEME - curly ’unuhw,LEXEME - straight 'unuhw,ROOT,PARSE,DEFINITION,NOTE
1401,lheq’ut,lheq'ut,√lheq’,√lheq’=t,lay it on,
1402,slheq’lhuq’stuhw,slheq'lhuq'stuhw,√lheq’,s=√lheq’=stuhw=STA=PL,"laid out,have them laid out (pl)",
1403,lheq’utum,lheq'utum,√lheq’,√lheq’=t=m,lay it down,
1404,slhelhuq’stum’,slhelhuq'stum',√lheq’,s=√lheq’=stuhw=m,lay: leave him lying PASS,
1405,lhaq’uthut,lhaq'uthut,√lheq’,√lheq’=that,lie down,
1406,shlhq’a’th,shlhq'a'th,√lheq’,shhw=√lheq’=a’th,across (other side of a river or road),
1407,lhq’utsun,lhq'utsun,√lheq’,√lheq’=utsun,other side (mountain),
1408,lhi’lhq’uw’s,lhi'lhq'uw's,√lheq’,√lheq’=iws=DIM,salmon: jack spring salmon,
1409,lhuq’nuts,lhuq'nuts,√lheq’,√lheq’=nets,hindquarter (for ex of a deer),
1410,hwlhuq’qent,hwlhuq'qent,√lheq’,hw=√lheq’=qen=t,lay it in front of,
1411,hwlhulhuq’qen’t,hwlhulhuq'qen't,√lheq’,hw=√lheq’=qen=t=PROG,laying it in front of someone,
1412,hwlhuq’qentham’sh,hwlhuq'qentham'sh,√lheq’,hw=√lheq’=qen=t=sam’sh,lay it in front of me,
1413,hwlhuq’qenum,hwlhuq'qenum,√lheq’,hw=√lheq’=qen=m,lay it in front of oneself,
1414,shlhq’el’qsun’,shlhq'el'qsun',√lheq’,s=hw=√lheq’=ul=qsun=STA,other side of the nose,
1415,slhuq’we’lh,slhuq'we'lh,√lheq’,s=√lheq’=we’lh,back (body),
1416,lhutth’lhut’,lhutth'lhut',√lhetth’,√lhetth’=RDP,comical person,
1417,lhetth’ut,lhetth'ut,√lhetth’,√lhetth’=t,joke with someone,
1418,slhetth’ul,slhetth'ul,√lhetth’,s=√lhetth’=il,irritated (when disturbed),
1419,shlhetth’ul,shlhetth'ul,√lhetth’ul,s=hw=√lhetth’ul=STA,"smart,clever",
1420,slhewun,slhewun,√lhewun,s=√lhewun,mat: bullrush mat; blanket: blanket in ceremony ,
1421,slhewut’,slhewut',√lhewut’,s=√lhewut’,herring,
1422,slhelhwut’,slhelhwut',√lhewut’,s=√lhewut’=DIM,herring DIM (or an almost empty herring bucket),
1423,lhew’,lhew',√lhew’,√lhew’,escape: run away; cured,
1424,lhuw’namut,lhuw'namut,√lhew’,√lhew’=namut,escape: manage to get away,
1425,lhelhuw’,lhelhuw',√lhew’,√lhew’=PROG,"escaping,fleeing,running away",
1426,lhulhuw’na’mut,lhulhuw'na'mut,√lhew’,√lhew’=namut=PROG,escape: fleeing (managing to get away),
1427,slhelhuw’,slhelhuw',√lhew’,s=√lhew’=STA,"cured,stay cured",
1428,lhe’wut,lhe'wut,√lhew’,√lhew’=t,cure someone,
1429,lhe’wutum,lhe'wutum,√lhew’,√lhew’=t=m,cure PASS,
1430,lhelhuw’stum’,lhelhuw'stum',√lhew’,√lhew’=stuhw=m=PROG,escape: running away with PASS,
1431,lhuw’een,lhuw'een,√lhew’,√lhew’=een,bring gifts to relatives at another reserve (a big gift to someone),
1432,lhuw’eent,lhuw'eent,√lhew’,√lhew’=een=t,give gifts to,
1433,lhuw’unuq,lhuw'unuq,√lhew’,√lhew’=unuq,heal,
1434,lhuw’lhnenum,lhuw'lhnenum,√lhew’,√lhew’=lhnen=m,hunt: get food,
1435,hwslhuw’lhnenum,hwslhuw'lhnenum,√lhew’,hws=√lhew’=lhnen=m,hunter: provider of food,
1436,lhew’lhne’num’,lhew'lhne'num',√lhew’,√lhew’=lhnen=m=PROG,"hunting: provide food,get food",
1437,lhew’soum’,lhew'soum',√lhew’s,√lhew’s=m=STA,glitter,Root not identified.
1438,slhexun’,slhexun',√lhexun’,s=√lhexun’,medicine,
1439,lhexun’t,lhexun't,√lhexun’,√lhexun’=t,"medicate,rub medication on someone",
1440,slhexun’stuhw,slhexun'stuhw,√lhexun’,s=√lhexun’=stuhw,medicine: give medicine to,
1441,slhexun’stamut,slhexun'stamut,√lhexun’,s=√lhexun’=stuhw=amut,medicine: give medicine to you PASS,
1442,lhaxun’thut,lhaxun'thut,√lhexun’,√lhexun’=that,medicate oneself,
1443,lhxun’uyulh,lhxun'uyulh,√lhexun’,√lhexun’=uylh,medicate the baby or baptize a baby,
1444,lhulhxun’uyulh,lhulhxun'uyulh,√lhexun’,√lhexun’=uylh=PROG,medicating the baby,
1445,lhey’,lhey',√lhey’,√lhey’,"that,the"," The feminine counterpart to kwthey',that remote.  See lhu,thu,they' and,for a general discussion of articles,tthu."
1446,slhu’ex,slhu'ex,√lhe’x,s=√lhe’x=STA,dished up (food),
1447,slhulhu’ex,slhulhu'ex,√lhe’x,s=√lhe’x=STA=PL,"dished up (all dished up,food)",
1448,lhe’xt,lhe'xt,√lhe’x,√lhe’x=t,"lay it on a plate,dish it up",
1449,lhulhe’xt,lhulhe'xt,√lhe’x,√lhe’x=t=PROG,dishing it up,
1450,lhu,lhu,√lhu,√lhu,"the,a"," Precedes noun phrases referring to feminine individuals and certain other words such as telu,money/dollar.  See tthu and thu for further discussion."
1451,lhulut,lhulut,√lhul,√lhul=t,bail it out,See also √lhult.
1452,lhulwulh,lhulwulh,√lhul,√lhul=uwulh,bail a canoe,
1453,lhul’ut,lhul'ut,√lhul,√lhul=t=DUR,bailing it out,See also lhulhul'ut.
1454,lhulhul’ut,lhulhul'ut,√lhul,√lhul=t=PROG,bailing,See also lhul'ut.
1455,lhultun,lhultun,√lhul,√lhul=ten,bailer,
1456,shlhul’p’us,shlhul'p'us,√lhulp’,s=hw=√lhulp’=as,wrinkles: facial wrinkles,
1457,lhel’sum,lhel'sum,√lhuls,√lhuls=m=STA,"sprinkle,starting to sprinkle a fine rain",See also √lhul.  Also lhel'tum'.
1458,lhelutum,lhelutum,√lhult,√lhult=m,"sprinkle,drizzle",See also √lhuls.
1459,slhelutum,slhelutum,√lhult,s=√lhult=m,sprinkle (a sprinkle),
1460,lhel’tum’,lhel'tum',√lhult,√lhult=m=PROG,"sprinkling,drizzling",
1461,lhultust,lhultust,√lhult,√lhult=as=t,sprinkle him/her,
1462,slhul’p’ul’exun’,slhul'p'ul'exun',√lhul’p’,s=√lhul’p’=ulexun,bat (animal),
1463,lhul’q,lhul'q,√lhul’q,√lhul’q,"soak,flood,rise (river)",
1464,lhul’lhul’q,lhul'lhul'q,√lhul’q,√lhul’q=PL,flooded,
1465,slhel’q,slhel'q,√lhul’q,s=√lhul’q=STA,"flooded,soaked",
1466,lhul’qt,lhul'qt,√lhul’q,√lhul’q=t,soak it,
1467,lhel’qutth’e’t,lhel'qutth'e't,√lhul’q,√lhul’q=itth’e’=t=PROG,"soaking it (fabric,such as sheets)",
1468,lhulqutth’els,lhulqutth'els,√lhul’q,√lhul’q=itth’e’=els,dye wool,
1469,shlhel’qutth’eel’s,shlhel'qutth'eel's,√lhul’q,shhw=√lhul’q=itth’e’=els=PROG,"container for soaking or boiler for tinting (cloth,bark)",
1470,lhumts’,lhumts',√lhumts’,√lhumts’,"chip: get chipped,erode",
1471,lhumlhumuluts’,lhumlhumuluts',√lhumts’,√lhumts’=PL,Clemclem (a Cowichan reserve),
1472,hwu slhem’ts’,hwu slhem'ts',√lhumts’,hwu s=√lhumts’=STA,"eroded,chipped,picked",
1473,lhumts’nuhw,lhumts'nuhw,√lhumts’,√lhumts’=nehw,pick it (manage to),
1474,lhumts’t,lhumts't,√lhumts’,√lhumts’=t,"chip,erode it",
1475,lhumts’t,lhumts't,√lhumts’,√lhumts’=t,pick it (berries),
1476,lhem’ts’t,lhem'ts't,√lhumts’,√lhumts’=t=PROG,picking it (berries),
1477,lhem’ts’nuhw,lhem'ts'nuhw,√lhumts’,√lhumts’=nehw=PROG,picking it (managing to),
1478,lhum’lhum’ts’t,lhum'lhum'ts't,√lhumts’,√lhumts’=t=PL,pick them (berries),
1479,lhem’lhum’ts’t,lhem'lhum'ts't,√lhumts’,√lhumts’=t=DUR,pick them (keep picking),
1480,lhumts’els,lhumts'els,√lhumts’,√lhumts’=els,pick,
1481,lhumts’elsiilh,lhumts'elsiilh,√lhumts’,√lhumts’=els=iilh,pick: join in picking at another site,
1482,lhem’ts’ul’s,lhem'ts'ul's,√lhumts’,√lhumts’=els=PROG,picking; picker,
1483,lhum’lhem’ts’ul’s,lhum'lhem'ts'ul's,√lhumts’,√lhumts’=els=PL=PROG,picking PL,
1484,lhumts’alst,lhumts'alst,√lhumts’,√lhumts’=als=t,"pick (apples,round objects)",
1485,lhumts’usnuhw,lhumts'usnuhw,√lhumts’,√lhumts’=as=nehw,pick berries (manage to),
1486,lhumts’ust,lhumts'ust,√lhumts’,√lhumts’=as=t,"pick berries,one-at-a-time",
1487,lham’ts’ust,lham'ts'ust,√lhumts’,√lhumts’=as=t=PROG,picking berries,
1488,lham’ts’usnuhw,lham'ts'usnuhw,√lhumts’,√lhumts’=as=nehw=PROG,picking berries (managing to),
1489,lham’ts’ustum’,lham'ts'ustum',√lhumts’,√lhumts’=as=t=m=PROG,picking PASS (for ex cherries),
1490,lhumts’sels,lhumts'sels,√lhumts’,√lhumts’=as=els,pick berries (one at a time),
1491,lham’ts’sul’s,lham'ts'sul's,√lhumts’,√lhumts’=as=els=PROG,picking berries (one at a time),
1492,shlhem’ts’ul’s,shlhem'ts'ul's,√lhumts’,shhw=√lhum’ts’=els=PROG,picker (picking machine),
1493,lhumuhw,lhumuhw,√lhumuhw,√lhumuhw,rain (verb),
1494,slhumuhw,slhumuhw,√lhumuhw,s=√lhumuhw,rain (noun),
1495,lhum’uhw,lhum'uhw,√lhumuhw,√lhumuhw=STA,raining,Locative subject.
1496,slhumuhwulhtsu,slhumuhwulhtsu,√lhumuhw,s=√lhumuhw=ulhtsu,wind: east?,
1497,lham’q’thut,lham'q'thut,√lhumq’,√lhumq’=that=PROG,"wiggling,jerking out of someone's grasp",
1498,lhumxwthut,lhumxwthut,√lhumxw,√lhumxw=that,dirty oneself (for ex a child),
1499,lham’xwthut,lham'xwthut,√lhumxw,√lhumxw=that=PROG,"dirtying,getting oneself dirty",
1500,lhun’,lhun',√lhun’,√lhun’,weave,Note the agent subject.
1501,slhun’,slhun',√lhun’,s=√lhun’,weaving (n,
1502,slhulhin’,slhulhin',√lhun’,s=√lhun’=STA,woven,
1503,slhe’lhulhin’,slhe'lhulhin',√lhun’,s=√lhun’=STA=DIM,woven ,
1504,slhule’lhulhin’,slhule'lhulhin',√lhun’,s=√lhun’=DIM=PL=STA,woven DIM PL,
1505,lhun’ut,lhun'ut,√lhun’,√lhun’=t,weave it,
1506,lhulhun’ut,lhulhun'ut,√lhun’,√lhun’=t=PROG,weaving it,
1507,slhulhin’stuhw,slhulhin'stuhw,√lhun’,s=√lhun’=stuhw=STA,"woven,get it woven",
1508,lhun’um,lhun'um,√lhun’,√lhun’=m,weave,
1509,lhun’els,lhun'els,√lhun’,√lhun’=els,weave,
1510,lhulhunum’,lhulhunum',√lhun’,√lhun’=m=PROG,weaving,
1511,lhulhunul’s,lhulhunul's,√lhun’,√lhun’=els=PROG,weaving,
1512,lhuli’lhulhunum’,lhuli'lhulhunum',√lhun’,√lhun’=m=DIM=PL=PROG,weaving  PL,Also transcribed as lhuli'lhulhunum'.
1513,lhun’e,lhun'e,√lhun’e,√lhun’e,trail: go in a particular direction,
1514,shlhun’e,shlhun'e,√lhun’e,shhw=√lhun’e,"trail: one's trail,the way one comes",
1515,lhupxnuhw,lhupxnuhw,√lhupx,√lhupx=nehw,blink,
1516,lhuplhupxnuhw,lhuplhupxnuhw,√lhupx,√lhupx=nehw=PL,blink PL,Note lack of 3rd subject suffix -us.
1517,lhup’qw’t,lhup'qw't,√lhup’qw’,√lhup’qw’=t,boil it,See also qwul's [√qwul's].
1518,lhap’uqw’um,lhap'uqw'um,√lhup’qw’,√lhup’qw’=m,boil (water),
1519,lhap’qw’um’,lhap'qw'um',√lhup’qw’,√lhup’qw’=m=PROG,boiling,
1520,lhup’tth’,lhup'tth',√lhup’tth’,√lhup’tth’,slurp up,
1521,lhup’tth’t,lhup'tth't,√lhup’tth’,√lhup’tth’=t,slurp it up,
1522,lhep’tth’t,lhep'tth't,√lhup’tth’,√lhup’tth’=t=PROG,slurping it up,
1523,lhup’lhup’tth’t,lhup'lhup'tth't,√lhup’tth’,√lhup’tth’=t=PL,slurp them up (for ex noodles) or swallow without chewing,
1524,lhep’lhup’tth’t,lhep'lhup'tth't,√lhup’tth’,√lhup’tth’=t=PL=DUR,slurping them up (keep on),
1525,lhup’lhep’tth’t,lhup'lhep'tth't,√lhup’tth’,√lhup’tth’=t=PL=PROG,slurping many up,
1526,lhi’lhep’tth’t,lhi'lhep'tth't,√lhup’tth’,√lhup’tth’=t=DIM=PROG,slurping it up DIM,
1527,lhup’tth’thamu,lhup'tth'thamu,√lhup’tth’,√lhup’tth’=t=samu,slurp you up,
1528,lhup’tth’i’a’lus,lhup'tth'i'a'lus,√lhup’tth’,√lhup’tth’=uy’=alus,slurp up: squeeze out and eat (fisheggs),
1529,lhup’tth’i’a’lust,lhup'tth'i'a'lust,√lhup’tth’,√lhup’tth’=uy’=alus=t,slurp up: squeeze out and eat (fisheggs),
1530,slhuqtal’,slhuqtal',√lhuq,s=√lhuq=tal=STA,double blanket; joined (object joined in the middle),
1531,lhuqtalustuhw,lhuqtalustuhw,√lhuq,√lhuq=tal=stuhw,make a tent out of a blanket,
1532,slhqul’exun’,slhqul'exun',√lhuq,s=√lhuq=al=exun,salmon: side of wind-dried salmon,
1533,lhuq’shin,lhuq'shin,√lhuq,√lhuq’=shun,one foot,
1534,lhuq’us,lhuq'us,√lhuq’us,√lhuq’us,seaweed,Possibly √lheq'-as.
1535,lhutxthut,lhutxthut,√lhutx,√lhutx=that,"shiver,tremble (like jelly)",
1536,lhatxthut,lhatxthut,√lhutx,√lhutx=that=PROG,"shivering,trembling",
1537,lhut’q’t,lhut'q't,√lhut’q’,√lhut’q’=t,"heat it up,warm it up",
1538,lhet’q’um’,lhet'q'um',√lhut’q’,√lhut’q’=m=PROG,bubbling (for ex hot soup),
1539,lhat’uqw’um,lhat'uqw'um,√lhut’qw’,√lhut’qw’=m,snore,
1540,lhat’qw’um’,lhat'qw'um',√lhut’qw’,√lhut’qw’=m=PROG,snoring,
1541,lhi’lhat’qw’um’,lhi'lhat'qw'um',√lhut’qw’,√lhut’qw’=m=DIM=PROG,snoring DIM,
1542,lhuthnuts,lhuthnuts,√lhuth,√lhuth=nets,cormorant,
1543,lhuw’els,lhuw'els,√lhuw’,√lhuw’=els,shuck shellfish,
1544,hwlhuw’ut,hwlhuw'ut,√lhuw’,hw=√lhuw’=t,shuck clams," Root may be related to lhew',run away."
1545,hwlhuw’els,hwlhuw'els,√lhuw’,hw=√lhuw’=els,shuck clams,
1546,lhuw’tth’e’um,lhuw'tth'e'um,√lhuw’,√lhuw’=itth’e’=m,undress,
1547,lhuw’ulhne’,lhuw'ulhne',√lhuw’ulhne’,√lhuw’ulhne’,day before yesterday,
1548,lhew’qum’,lhew'qum',√lhuw’q,√lhuw’q=m=PROG,mussel,
1549,slhu’ex,slhu'ex,√lhux,s=√lhux=STA,inside/on (for ex on a plate or bowl),
1550,lhuxunuptun,lhuxunuptun,√lhux,√lhux=unup=ten,floor,
1551,lhxulwe’stun,lhxulwe'stun,√lhux,√lhux=al=we’s=ten,bleachers (as in the longhouse),Also recorded as lhxul'we'tstun.
1552,lhxulwulhtun,lhxulwulhtun,√lhux,√lhux=al=wulh=ten,crosspiece in canoe,See also shmut'uwulh.
1553,lhuyxt,lhuyxt,√lhuyx,√lhuyx=t,eat it,
1554,lhuylhuyxt,lhuylhuyxt,√lhuyx,√lhuyx=t=PL,eat PL,
1555,lhuy’lhey’xt,lhuy'lhey'xt,√lhuyx,√lhuyx=t=PROG=PL,eating PL,
1556,lhits’,lhits',√lhits’,√lhits’,"cut,slice (get cut)",
1557,slhilhuts’,slhilhuts',√lhits’,s=√lhits’=STA,sliced,
1558,hwu slhilhuts’,hwu slhilhuts',√lhits’,hwu s=√lhits’=STA,cut: become cut,
1559,lhits’ut,lhits'ut,√lhits’,√lhits’=t,"slice it,cut it",
1560,lhilhuts’ut,lhilhuts'ut,√lhits’,√lhits’=t=PROG,"slicing,cutting it",
1561,shlhilhuts’ut,shlhilhuts'ut,√lhits’,shhw=√lhits’=t=PROG,slice: what he/she was slicing with,
1562,lhe’luts’utum,lhe'luts'utum,√lhits’,√lhits’=t=m=PL,slice PASS (plural),
1563,lhts’els,lhts'els,√lhits’,√lhits’=els,slice something,
1564,lhulhi’lhuts’ul’s,lhulhi'lhuts'ul's,√lhits’,√lhits’=els=DIM=PROG,slicing DIM,
1565,lhts’elsstuhw,lhts'elsstuhw,√lhits’,√lhits’=els=stuhw,make someone cut up something,
1566,lhuts’mun,lhuts'mun,√lhits’,√lhits’=mun,sawdust,
1567,lhuts’tun,lhuts'tun,√lhits’,√lhits’=ten,cutter; saw,
1568,lhts’alust,lhts'alust,√lhits’,√lhits’=alus=t,cut out an area of a weaving in order to reweave it,
1569,lhuts’ul’ust,lhuts'ul'ust,√lhits’,√lhits’=alus=t=PROG,cutting an area out of a weaving in order to reweave it,
1570,lhts’alst,lhts'alst,√lhits’,√lhits’=als=t,"cut up potatoes,apples,vegetables",
1571,lhts’alsnuhw,lhts'alsnuhw,√lhits’,√lhits’=als=nehw,"cut up apples,vegetables (manage to)",
1572,lhts’alstuhw,lhts'alstuhw,√lhits’,√lhits’=als=stuhw,"make someone cut up apples,vegetables",
1573,lhuts’ul’snuhw,lhuts'ul'snuhw,√lhits’,√lhits’=als=nehw=PROG,"cutting up apples,vegetables (managing to)",
1574,lhuts’ul’st,lhuts'ul'st,√lhits’,√lhits’=als=t=PROG,"cutting or slicing (round objects,for ex vegetables,apples)",
1575,lhulhts’al’st,lhulhts'al'st,√lhits’,√lhits’=als=t=DUR,slicing vegetables (keep on),
1576,lhilhuts’ul’st,lhilhuts'ul'st,√lhits’,√lhits’=als=t=PROG,"cutting or slicing (round objects,for ex vegetables,apples)",See also lhuts'ul'st.
1577,lhts’alsels,lhts'alsels,√lhits’,√lhits’=als=els,"cut up apples,vegetables",
1578,lhuts’ul’sul’s,lhuts'ul'sul's,√lhits’,√lhits’=als=els=PROG,"cutting up apples,vegetables",
1579,hwlhits’ust,hwlhits'ust,√lhits’,hw=√lhits’=as=t,cut someone on the face,
1580,lhits’a’qwt,lhits'a'qwt,√lhits’,√lhits’=a’qw=t,cut head off,
1581,lhilhuts’a’qwt,lhilhuts'a'qwt,√lhits’,√lhits’=a’qw=t=PROG,cutting head off,
1582,lhuts’tsus,lhuts'tsus,√lhits’,√lhits’=tses,cut hand,
1583,slhuts’tsus,slhuts'tsus,√lhits’,s=√lhits’=tsus,cut hand,
1584,lhts’eenhwt,lhts'eenhwt,√lhits’,√lhits’=eenhw=t,"cut top ends off (grain,canes)",
1585,lhts’emutth’t,lhts'emutth't,√lhits’,√lhits’=emutth’=t,"cut across the grain,cut bullrushes to sizes,cut bullrushes",
1586,lhts’emutth’nuhw,lhts'emutth'nuhw,√lhits’,√lhits’=emutth’=nehw,cut across the grain (manage to),
1587,lhuts’um’utth’t,lhuts'um'utth't,√lhits’,√lhits’=emutth’=t=PROG,"cutting across the grain,cutting down bullrushes",
1588,lhuts’um’utth’nuhw,lhuts'um'utth'nuhw,√lhits’,√lhits’=emutth’=nehw=PROG,cutting across the grain (manage to),
1589,lhi’lhts’e’mutth’t,lhi'lhts'e'mutth't,√lhits’,√lhits’=emutth’=t=DUR,cutting it into sizes across the grain (keep on doing it),
1590,lhts’eent,lhts'eent,√lhits’,√lhits’=en=t,slice a piece off the end,
1591,lhts’enwust,lhts'enwust,√lhits’,√lhits’=enwus=t,cut someone's chest,
1592,lhuts’een’wust,lhuts'een'wust,√lhits’,√lhits’=enwus=t=PROG,cutting open someone's chest,
1593,lhulhts’een’wust,lhulhts'een'wust,√lhits’,√lhits’=enwus=t=DUR,cutting open someone's chest,
1594,lhts’ulexut,lhts'ulexut,√lhits’,√lhits’=ulexun=t,"cut someone's arm,give someone a vaccination,cut wing of bird or cut a sleeve",
1595,lhilhuts’ul’exut,lhilhuts'ul'exut,√lhits’,√lhits’=ulexun=t=PROG,"cutting someone's sleeve,giving a vaccination,cutting a wing",Anticipated form: lhuts'ul'uxut.
1596,lhi’lhts’ul’exutus,lhi'lhts'ul'exutus,√lhits’,√lhits’=ulexun=t=us=DUR,"cutting their arms,vaccinating them (keep on)",
1597,lhts’ule’tst,lhts'ule'tst,√lhits’,√lhits’=ule’=t,cut open bales,
1598,lhuts’ule’tst,lhuts'ule'tst,√lhits’,√lhits’=ule’ts=t=PROG,cutting open bales,
1599,lhulhts’ule’tst,lhulhts'ule'tst,√lhits’,√lhits’=ule’ts=t=DUR,cutting bale or strings (keep on),
1600,lhts’ul’tsup,lhts'ul'tsup,√lhits’,√lhits’=ul’tsup,saw wood,
1601,lhts’ul’tsupt,lhts'ul'tsupt,√lhits’,√lhits’=ul’tsup=t,saw wood for someone,
1602,lhts’ul’tsupnuhw,lhts'ul'tsupnuhw,√lhits’,√lhits’=ul’tsup=nehw,saw wood for someone (manage to),
1603,lhts’ul’tsuptham’sh,lhts'ul'tsuptham'sh,√lhits’,√lhits’=ul’tsup=t=sam’sh,saw wood for me,
1604,slhulhts’e’mutth’,slhulhts'e'mutth',√lhits’,s=√lhits’=umutth’,cut (bullrushes are cut),
1605,lhts’unup,lhts'unup,√lhits’,√lhits’=unup,disk a field,
1606,lhuts’un’up,lhuts'un'up,√lhits’,√lhits’=unup=PROG,disking the ground,
1607,lhts’unupt,lhts'unupt,√lhits’,√lhits’=unup=t,disk a field,
1608,lhts’unupels,lhts'unupels,√lhits’,√lhits’=unup=els,disk a field,See also lhuts'nutsels.
1609,lhuts’un’upul’s,lhuts'un'upul's,√lhits’,√lhits’=unup=els=PROG,disking a field,
1610,lhits’uxun,lhits'uxun,√lhits’,√lhits’=uxen,"cut into strips ,edge cut off",
1611,lhits’uxut,lhits'uxut,√lhits’,√lhits’=uxun=t,cut the corner off a box; cut the edge off a blanket,Start it with a knife and then rip.
1612,lhilhuts’uxut,lhilhuts'uxut,√lhits’,√lhits’=uxun=t=PROG,"cutting the corner off a box,edge off a blanket",
1613,lhts’itth’e’t,lhts'itth'e't,√lhits’,√lhits’=itth’e’=t,"cut into strips,slices,cubes",
1614,lhuts’utth’e’t,lhuts'utth'e't,√lhits’,√lhits’=itth’e’=t=PROG,"cutting it into strips,small pieces",Also transcribed as lhuts'utth'e't.
1615,lhul’ts’itth’e’t,lhul'ts'itth'e't,√lhits’,√lhits’=itth’e’=t=PL,"cutting a lot (of vegetables,fish) into small pieces",
1616,lhts’itth’e’ulhtstham’sh,lhts'itth'e'ulhtstham'sh,√lhits’,√lhits’=itth’e’=lhts=t=sam’sh,slice it up thin for me,
1617,lhts’iwst,lhts'iwst,√lhits’,√lhits’=iws=t,cut up fowl,
1618,lhuts’uw’st,lhuts'uw'st,√lhits’,√lhits’=iws=t,cutting up fowl,
1619,lhuts’nutsels,lhuts'nutsels,√lhits’,√lhits’=nets=els,mow a lawn,See also lhts'unup [√lhits'].
1620,shlhilhuts’nutsul’s,shlhilhuts'nutsul's,√lhits’,shhw=√lhits’=nets=els=PROG,mower,
1621,hwlhulhuts’qi’num’,hwlhulhuts'qi'num',√lhits’,√lhits’=qin=m=PROG,cutting your tonsils out,
1622,hwlhuts’qut,hwlhuts'qut,√lhits’,hw=√lhits’=qin=t,cut someone's tonsils out,
1623,hwlhilhuts’qut,hwlhilhuts'qut,√lhits’,hw=√lhits’=qin=t=PROG,cutting someone's tonsils out,
1624,hwlhuts’qinum,hwlhuts'qinum,√lhits’,hw=√lhits’=qin=m,"cut your tonsils out,cut inside of one's mouth,lance gums",
1625,hwlhuts’qunels,hwlhuts'qunels,√lhits’,hw=√lhits’=qin=els,cut out tonsils,
1626,hwlhulhuts’qunul’s,hwlhulhuts'qunul's,√lhits’,hw=√lhits’=qin=els=PROG,tonsil doctor,
1627,hwlhulhuts’qi’num’,hwlhulhuts'qi'num',√lhits’,hw=√lhits’=qin=m=PROG,"cutting the inside of one's mouth,lancing one's gums",
1628,lhuts’qst,lhuts'qst,√lhits’,√lhits’=qsun=t,cut the point off of it,
1629,lhilhuts’qst,lhilhuts'qst,√lhits’,√lhits’=qsun=t=PROG,cutting the point off of it,
1630,lhuts’shun,lhuts'shun,√lhits’,√lhits’=shen,cut foot,
1631,lhuts’shenum,lhuts'shenum,√lhits’,√lhits’=shen=m,cut one's foot,
1632,lhikw’,lhikw',√lhikw’,√lhikw’,"touch,tip on (hit,graze)",
1633,lhikw’ut,lhikw'ut,√lhikw’,√lhikw’=t,hook it,
1634,lhukw’tun,lhukw'tun,√lhikw’,√lhikw’=ten,hook: gaff hook (a detachable hook attached to shaft with line),
1635,lhukw’qst,lhukw'qst,√lhikw’,√lhikw’=qsun=t,touch the point of something,
1636,lhukw’shun,lhukw'shun,√lhikw’,√lhikw’=shen,trip,
1637,lhilhukw’shut,lhilhukw'shut,√lhikw’,√lhikw’=shen=t=PROG,tripping him/her,
1638,lhe’lukw’shutum,lhe'lukw'shutum,√lhikw’,√lhikw’=shen=t=m=PL,trip them PL,
1639,lhi’mus,lhi'mus,√lhim’,√lhim’=as,canoe stroke: pull towards the canoe in making a turn,
1640,lhiput,lhiput,√lhip,√lhip=t,strip slices off (a chunk of meat); strip hops or berries,
1641,lhuptun’,lhuptun',√lhip,√lhip=ten,eyelashes,
1642,lhpiwst,lhpiwst,√lhip,√lhip=iws=t,strip the hide off it (for ex deer),
1643,lhupuw’st,lhupuw'st,√lhip,√lhip=iws=t=PROG,stripping the hide off it,
1644,lhe’lhpiw’st,lhe'lhpiw'st,√lhip,√lhip=iws=t=DUR,stripping the hide off it (keep on),
1645,slhiqw,slhiqw,√lhiqw,s=√lhiqw,flesh,
1646,slhqwulnus,slhqwulnus,√lhiqw,s=√lhiqw=al=nus,gums (gingiva),
1647,slhqwun’u,slhqwun'u,√lhiqw,s=√lhiqw=un’u,cheek (fish cheeks),See also shhw'ii'nu cheek.
1648,lhihw,lhihw,√lhihw,√lhihw,three,
1649,slhihws,slhihws,√lhihw,s=√lhihw,Wednesday; third,
1650,lhhwalus,lhhwalus,√lhihw,√lhihw=alus,three stitches (when counting the width of a pattern in knitting),
1651,lhihwus,lhihwus,√lhihw,√lhihw=as,"three dollars,round objects",
1652,lhhwa’ya’th,lhhwa'ya'th,√lhihw,√lhihw=ay’=a’th,three-pronged,
1653,lhhwelu,lhhwelu,√lhihw,√lhihw=elu,three people,
1654,lhhwelh,lhhwelh,√lhihw,√lhihw=elh,three times,
1655,lhihwuw’t-hw,lhihwuw't-hw,√lhihw,√lhihw=ew’t-hw,three houses,
1656,slhihwulhp,slhihwulhp,√lhihw,s=√lhihw=ulhp,three trees,
1657,lhihwuqun,lhihwuqun,√lhihw,√lhihw=uqun,three containers,
1658,lhhwuwulh,lhhwuwulh,√lhihw,√lhihw=uwulh,three canoes,
1659,yu lhuhwuw’ulh,yu lhuhwuw'ulh,√lhihw,yu √lhihw=uwulh=PROG,"three canoes going along,three cars going along",
1660,lhhwuwoonhw,lhhwuwoonhw,√lhihw,√lhihw=uwounhw,three years,
1661,lhhwumat,lhhwumat,√lhihw,√lhihw=mat,three teams or groups or material divided into three,
1662,hwu lhhwumatstuhw,hwu lhhwumatstuhw,√lhihw,hwu √lhihw=mat=stuhw,do into three groups,
1663,hwulhhwumat,hwulhhwumat,√lhihw,hw=√lhihw=mat,divided (now) into three,
1664,lhuhwnuts,lhuhwnuts,√lhihw,√lhihw=nets,three root plants,
