ID,orthography,apaunicode,straight,root,parse,definition,note
1170,se’sul’its’,seʔsəl̓ic̓,se÷s;¬iç,√luts’u,s=√luts’u=STA=DIM,full DIM,
1171,hwu sul’its’,xʷə səl̓ic̓,xø; s;¬iç,√luts’u,hwu s=√luts’u=STA,"full, now filled",
1172,luts’ut,ləc̓ət,l;ç;t,√luts’u,√luts’u=t,fill it,
1173,luts’luts’t,ləcl̓əc̓t,l;c¬;çt,√luts’u,√luts’u=t=PL,fill them,
1174,hul’ts’t,həl̓c̓t,h;¬çt,√luts’u,√luts’u=t=PROG,filling it,
1175,hul’ul’ts’t,həl̓əl̓c̓t,h;¬;¬çt,√luts’u,√luts’u=t=PROG=PL,filling them,
1176,hi’hul’ts’t,hiʔhəl̓c̓t,hi÷h;¬çt,√luts’u,√luts’u=t=DIM=PROG,filling it DIM,
1177,huli’hul’ts’t,həliʔhəl̓c̓t,h;li÷h;¬çt,√luts’u,√luts’u=t=DIM=PL=PROG,filling little things,
1178,luts’as,ləc̓as,l;ças,√luts’u,√luts’u=as,"full (round object, such as a spool)",
1179,hwu sul’ts’as,xʷə səl̓c̓as,xø; s;¬ças,√luts’u,hwu s=√luts’u=as=STA,full (of a round object),
1180,hwu sluts’as,xʷə sləc̓as,xø; sl;ças,√luts’u,hwu s=√luts’u=as=STA,full (of a round object),
1181,sul’its’a’qw,səl̓ic̓aʔqʷ,s;¬iça÷qø,√luts’u,s=√luts’u=a’qw=STA,filled (a head-like thing),
1182,luts’i’qwt,ləc̓iʔqʷt,l;çi÷qøt,√luts’u,√luts’u=a’qw=t,fill a head-like thing (for ex a pumpkin),
1183,luts’unupt,ləc̓ənəpt,l;ç;n;pt,√luts’u,√luts’u=unup=t,"fill in the ground, level off",
1184,hwuli’hul’ts’uqut,xʷəliʔhəl̓c̓əqət,xø;li÷h;¬ç;q;t,√luts’u,hw=√luts’u=uqin=t=DIM=PROG=PL,filling containers DIM,
1185,luhel’,ləhel̓,l;he¬,√luhel’,√luhel’,bonegame (to play it),
1186,sluhel’,sləhel̓,sl;he¬,√luhel’,s=√luhel’,bonegame,
1187,hwsluhel’,xʷsləhel̓,xøsl;he¬,√luhel’,hws=√luhel’,bonegame player,
1188,li’hel’,liʔhel̓,li÷he¬,√luhel’,√luhel’=PROG,bonegame (be playing),
1189,lukli,ləkli,l;kli,√lukli,√lukli,key," French loan eg., le cle."
1190,lukwwin,ləkʷwin,l;køwin,√lukwin,√lukwin,cross (religious symbol),
1191,lukw,ləkʷ,l;kø,√lukwa,√lukwa,break (stick),
1192,hul’kw,həl̓kʷ,h;¬kø,√lukwa,√lukwa=PROG,"breaking (stick), breaks easily, walks with a lame gait",
1193,lukwlukw,ləkʷləkʷ,l;køl;kø,√lukwa,√lukwa=PL,break (stick) PL,
1194,hi’hul’kw,hiʔhəl̓kʷ,hi÷h;¬kø,√lukwa,√lukwa=DIM=PROG,breaking (stick) DIM,
1195,sul’ikw,səl̓ikʷ,s;¬ikø,√lukwa,s=√lukwa=STA,broken (stick),
1196,sul’likw,səll̓ikʷ,s;l¬ikø,√lukwa,s=√lukwa=STA=PL,broken (stick) PL,
1197,see’likw,se:l̓ikʷ,se:¬ikø,√lukwa,s=√lukwa=STA=DIM,broken (stick) DIM,
1198,sul’ee’likw,səl̓e:l̓ikʷ,s;¬e:¬ikø,√lukwa,s=√lukwa=STA=DIM=PL,broken (stick) DIM,
1199,hwu sul’ikw,xʷə səl̓ikʷ,xø; s;¬ikø,√lukwa,hwu s=√lukwa=STA,broken (stick),
1200,lukwat,ləkʷat,l;køat,√lukwa,√lukwa=t,break it (stick),
1201,lukwnehw,ləkʷnexʷ,l;kønexø,√lukwa,√lukwa=nehw,"break it (stick) accidentally, manage to",
1202,hul’kwut,həl̓kʷət,h;¬kø;t,√lukwa,√lukwa=t=PROG,breaking it (stick),
1203,lukwlukwut,ləkʷləkʷət,l;køl;kø;t,√lukwa,√lukwa=t=PL,break (stick) them,
1204,hul’ul’kwut,həl̓əl̓kʷət,h;¬;¬kø;t,√lukwa,√lukwa=t=PROG=PL,breaking (stick) them,
1205,hi’hul’kwut,hiʔhəl̓kʷət,hi÷h;¬kø;t,√lukwa,√lukwa=t=DIM=PROG,breaking it (stick) DIM,
1206,huli’hul’kwut,həliʔhəl̓kʷət,h;li÷h;¬kø;t,√lukwa,√lukwa=t=DIM=PL=PROG,breaking them (stick) DIM,
1207,hul’kwnuhw,həl̓kʷnəxʷ,h;¬køn;xø,√lukwa,√lukwa=nehw=PROG,"breaking it (stick), managing to, doing it accidentally",
1208,sul’ikwstuhw,səl̓ikʷstəxʷ,s;¬ikøst;xø,√lukwa,s=√lukwa=stuhw=STA,broken (stick): have it broken,
1209,hul’kwtus,həl̓kʷtəs,h;¬køt;s,√lukwa,√lukwa=t=us=PROG,"breaking it (stick, she/he is breaking it)",
1210,hul’ul’kwtus,həl̓əl̓kʷtəs,h;¬;¬køt;s,√lukwa,√lukwa=t=us=PROG=PL,"breaking them (stick, he/she is breaking them)",
1211,lukwels,ləkʷels,l;køels,√lukwa,√lukwa=els,break it (stick),
1212,lukwlukwels,ləkʷləkʷels,l;køl;køels,√lukwa,√lukwa=els=PL,"break (stick) in pieces, break repeatedly"," Said of the loon, meaning it distorts ones’s bones.  If one looked at it while it was flying and making its call, it did this."
1213,hul’kwul’s,həl̓kʷəl̓s,h;¬kø;¬s,√lukwa,√lukwa=els=PROG,breaking (sticks),
1214,hul’ul’kwul’s,həl̓əl̓kʷəl̓s,h;¬;¬kø;¬s,√lukwa,√lukwa=els=PROG=PL,breaking PL (sticks),
1215,lukwulhtsut,ləkʷəɫcət,l;kø;®c;t,√lukwa,√lukwa=lhts=t,break it (stick) for someone,
1216,lukwlukwulhtsut,ləkʷləkʷəɫcət,l;køl;kø;®c;t,√lukwa,√lukwa=lhts=t=PL,break lots (of sticks) for someone,
1217,lukwulhtsthamsh,ləkʷəɫcθamš,l;kø;®cƒamß,√lukwa,√lukwa=lhts=t=am’sh,break it (stick) for me,
1218,lukwi’qwt,ləkʷiʔqʷt,l;køi÷qøt,√lukwa,√lukwa=a’qw=t,break off heads (for ex break flowers off with short stems),
1219,lukwlukwa’qwt,ləkʷləkʷaʔqʷt,l;køl;køa÷qøt,√lukwa,√lukwa=a’qw=t=PL,break off heads  PL,
1220,yu hul’kwa’qwt,yə həl̓kʷaʔqʷt,y; h;¬køa÷qøt,√lukwa,yu √lukwa=a’qw=t=PROG,breaking off  heads (for ex be breaking off flower tops),
1221,lukwul’exun’,ləkʷəl̓ex̌ən̓,l;kø;¬e≈;∫,√lukwa,√lukwa=al’=exun,break arm,
1222,lukwtsest,ləkʷcest,l;køcest,√lukwa,√lukwa=tsus=t,break branches,
1223,hul’kwutsust,həl̓kʷəcəst,h;¬kø;c;st,√lukwa,√lukwa=tsus=t=PROG,breaking branches,See also hul'kwtsust.
1224,hul’kwtsust,həl̓kʷcəst,h;¬køc;st,√lukwa,√lukwa=tsus=t=PROG,breaking branches,See also hul'kwutsust.
1225,hwlukwutst,xʷləkʷəct,xøl;kø;ct,√lukwa,hw=√lukwa=utsun=t,"break in two, in half",
1226,lukwulhpt,ləkʷəɫpt,l;kø;®pt,√lukwa,√lukwa=ulhp=t,break off plants,
1227,lukwuqsnuhw,ləkʷəqsnəxʷ,l;kø;qsn;xø,√lukwa,√lukwa=qsen=nehw,break the point off accidentally (for ex a pencil),
1228,hul’kwuqst,həl̓kʷəqst,h;¬kø;qst,√lukwa,√lukwa=qsen=t=PROG,breaking the point off of it,
1229,lukwshen,ləkʷšen,l;køßen,√lukwa,√lukwa=shen,break foot or leg,
1230,lukw’umun,lək̓ʷəmən,l;˚ø;m;n,√lukw’umun,√lukw’umun,"Esquimalt (by naval shipyard, new longhouse area)",
1231,luluts’,lələc̓,l;l;ç,√luluts’,√luluts’,yellow,
1232,luluts’alus,lələc̓aləs,l;l;çal;s,√luluts’,√luluts’=alus,yellowish,
1233,luluts’ulhp,lələc̓əɫp,l;l;ç;®p,√luluts’,√luluts’=ulhp,Oregon-grape (dull),
1234,lume’t,ləmeʔt,l;me÷t,√lume’,√lume’=t,kick it,
1235,lume’tum,ləmeʔtəm,l;me÷t;m,√lume’,√lume’=t=m.,kick it PASS,
1236,lume’nuhw,ləmen̓əxʷ,l;me∫;xø,√lume’,√lume’=nehw,kick accidentally,Also pronounced lumen'hw.
1237,hul’me’t,həlm̓eʔt,h;lµe÷t,√lume’,√lume’=t=PROG,kicking it,
1238,lumlume’t,ləmləmeʔt,l;ml;me÷t,√lume’,√lume’=t=PL,kick it PL,
1239,hul’ul’me’t,həl̓əlm̓eʔt,h;¬;lµe÷t,√lume’,√lume’=t=PROG=PL,kicking them,
1240,lumu’els,ləməʔels,l;m;÷els,√lume’,√lume’=els,"kicker, kick (something)",
1241,lumlumu’els,ləmləməʔels,l;ml;m;÷els,√lume’,√lume’=els=PL,"kick (kicker), continues to kick",
1242,lumu’aythut,ləməʔayθət,l;m;÷ayƒ;t,√lume’,√lume’=aythun=t,kick in the mouth,
1243,lumutou,ləmətu,l;m;tu,√lumutou,√lumutou,sheep,
1244,lumutoul’qun,ləmətul̓qən,l;m;tu¬q;n,√lumutou,√lumutou=al’=qen,wool,See also sey' [√sey'].
1245,hwlumi’,xʷləmiʔ,xøl;mi÷,√lumi’,hw=√lumi’,Lummi Island and Lummi people,
1246,lamuhwum,laməxʷəm,lam;xø;m,√lumhw,√lumhw=m,"rumble: make a noise, a rumbling sound",
1247,lum’lam’hwum’,ləml̓am̓xʷəm̓,l;m¬aµxø;µ,√lumhw,√lumhw=m=PROG=PL,"rumbling: making noises, rumbling sounds",
1248,hwlumlumhwust,xʷləmləmxʷəst,xøl;ml;mxø;st,√lumhw,hw=√lumhw=as=t=PL,thump in the face,
1249,lumhwshenum,ləmxʷšenəm,l;mxøßen;m,√lumhw,√lumhw=shen=m,stomp feet on ground or floor,
1250,lem’hwshe’num’,lem̓xʷšen̓əm̓,leµxøße∫;µ,√lumhw,√lumhw=shen=m=PROG,stomping feet on ground or floor,See also hwlam'hwshe'num'.
1251,hwlam’hwshe’num’,xʷlam̓xʷšen̓əm̓,xølaµxøße∫;µ,√lumhw,hw=√lumhw=shen=m=PROG,stomping feet on ground or floor,See also hwlem'hwshe'num'.
1252,lum’,ləm̓,l;µ,√lum’,√lum’,"fold, erode (of land falling off into sea or river)",
1253,lum’ut,ləm̓ət,l;µ;t,√lum’,√lum’=t,"fold, hem it",
1254,hul’mut,həlm̓ət,h;lµ;t,√lum’,√lum’=t=PROG,folding it,
1255,hwlum’ust,xʷləm̓əst,xøl;µ;st,√lum’,hw=√lum’=as=t,fold it (berries),
1256,hwlum’lum’ust,xʷləml̓əm̓əst,xøl;m¬;µ;st,√lum’,hw=√lum’=as=t=PL,fold them (berries),
1257,hwlum’elhtsu,xʷləm̓eɫcə,xøl;µe®c;,√lum’,hw=√lum’=elhtsu,Westholm: area near the bay at Westholm,
1258,lum’lum’nuts,ləml̓əmn̓əc,l;m¬;m∫;c,√lum’,√lum’=nets=PL,"collapse, knees buckle",
1259,lupat,ləpat,l;pat,√lupat,√lupat,cup,
1260,lupen,ləpen,l;pen,√lupen,√lupen,shovel," See also shapul, shovel."
1261,luplash,ləplaš,l;plaß,√luplash,√luplash,board,
1262,luplit,ləplit,l;plit,√luplit,√luplit,"priest, minister",
1263,lupyous,ləpyus,l;pyus,√lupyous,√lupyous,hoe,
1264,luq,ləq,l;q,√luq,√luq,sold," See also 'iluqut, buy [√'iluq]."
1265,hul’iq,həl̓iq,h;¬iq,√luq,√luq=STA,cheap,
1266,hul’iqstum’,həl̓iqstəm̓,h;¬iqst;µ,√luq,√luq=stuhw=m=STA,reasonably priced,
1267,luq’unupulhtstham’sh,ləq̓ənəpəɫcθam̓š,l;œ;n;p;®cƒaµß,√luq’,√luq’=unup=lhts=t=sam’sh,level it for me,
1268,luq’elh,ləq̓eɫ,l;œe®,√luq’elh,√luq’elh,in the way: get in the way,
1269,luq’alhthut,ləq̓aɫθət,l;œa®ƒ;t,√luq’elh,√luq’elh=that,in the way: get in the way,
1270,hul’q’elh,həl̓q̓eɫ,h;¬œe®,√luq’elh,√luq’elh=PROG,"in the way, blocking",
1271,hwu hul’q’elh,xʷə həl̓q̓eɫ,xø; h;¬œe®,√luq’elh,hwu √luq’elh=PROG,"in the way: getting in front of, or along side",
1272,luq’elht,ləq̓eɫt,l;œe®t,√luq’elh,√luq’elh=t,"put in the way, place a block to keep from rolling, retain a child",
1273,luq’elhtham’sh,ləq̓eɫθam̓š,l;œe®ƒaµß,√luq’elh,√luq’elh=t=sam’sh,put it in front of me,
1274,hul’q’ulht,həl̓q̓əɫt,h;¬œ;®t,√luq’elh,√luq’elh=t=PROG,"in the way: putting it in the way, placing a block to keep from rolling, placing an obstacle for a child not to pass",
1275,hul’q’ulhtus,həl̓q̓əɫtəs,h;¬œ;®t;s,√luq’elh,√luq’elh=t=PROG,"in the way: putting it on the way, placing an obstacle in front of",
1276,luq’elhtum,ləq̓eɫtəm,l;œe®t;m,√luq’elh,√luq’elh=t=m,"in the way: put it in the way, place an obstacle to keep from going through PASS",
1277,hul’q’elhstum’,həl̓q̓eɫstəm̓,h;¬œe®st;µ,√luq’elh,√luq’elh=stuhw=m=PROG,in the way: putting it in the path of PASS,
1278,luq’,ləq̓,l;œ,√luq’u,√luq’u,"even, level, par",
1279,sul’iq’,səl̓iq̓,s;¬iœ,√luq’u,s=√luq’u=STA,even,
1280,luq’ut,ləq̓ət,l;œ;t,√luq’u,√luq’u=t,"even it, level it, bring to par",
1281,sul’iq’stuhw,səl̓iq̓stəxʷ,s;¬iœst;xø,√luq’u,s=√luq’u=stuhw=STA,"even: cut even, to the same length",
1282,luq’els,ləq̓els,l;œels,√luq’u,√luq’u=els,even: make even or par,
1283,luq’uthut,ləq̓əθət,l;œ;ƒ;t,√luq’u,√luq’u=that,"even with, in line, on par",
1284,sul’q’a’i’thun,səl̓q̓aʔiʔθən,s;¬œa÷i÷ƒ;n,√luq’u,s=√luq’u=aythin=STA,even or identical size (top of a container),
1285,sulq’un’ap,səlq̓ən̓ap,s;lœ;∫ap,√luq’u,s=√luq’u=unup,levelled ground,
1286,luq’unupt,ləq̓ənəpt,l;œ;n;pt,√luq’u,√luq’u=unup=t,level the ground,
1287,hul’q’un’upt,həl̓q̓ən̓əpt,h;¬œ;∫;pt,√luq’u,√luq’u=unup=t=PROG,levelling the ground,
1288,sul’q’tal’,səl̓q̓tal̓,s;¬œta¬,√luq’u,s=√luq’u=tal=STA,"even, simultaneous",
1289,luqwu,ləqʷə,l;qø;,√luqwa,√luqwa,"suitcase, handbag",
1290,huliqwu,həliqʷə,h;liqø;,√luqwa,√luqwa=PL,"suitcases, briefcases",
1291,shluqwu’elu,šləqʷəʔelə,ßl;qø;÷el;,√luqwa,shhw=√luqwa=elu,pocket,
1292,luqw’ut,ləq̓ʷət,l;œø;t,√luqw’,√luqw’=t,drink it in one swallow,
1293,luqw’uthut,ləq̓ʷəθət,l;œø;ƒ;t,√luqw’,√luqw’=that,"clear away, clean up (stray objects lying about)",
1294,luqw’uy’,ləq̓ʷəy̓,l;œø;¥,√luqw’,√luqw’uy’,mat: a reed mat in a lattice-weave pattern,
1295,lushaan,ləša:n,l;ßa:n,√lushaan,√lushaan,shawl,
1296,lutem,lətem,l;tem,√lutem,√lutem,table,
1297,luwen,ləwen,l;wen,√luwen,√luwen,oats,
1298,luwux,ləwəx̌,l;w;≈,√luwux,√luwux,ribs (and on canoes and boats),
1299,sluwi’,sləwiʔ,sl;wi÷,√luwi’,s=√luwi’,bark: inner cedar bark,Used for diapers.  Also woven in single strands or spun.
1300,lux,ləx̌,l;≈,√luxu,√luxu,spaced apart,
1301,hul’xt,həl̓x̌t,h;¬≈t,√luxu,√luxu=t=PROG,spacing it apart,
1302,luxut,ləx̌ət,l;≈;t,√luxu,√luxu=t,space it apart; lengthen strokes (canoe pulling),
1303,sul’ixw,səl̓ix̌ʷ,s;¬i≈ø,√luxu,s=√luxw=STA,covered,
1304,hul’xwuthut,həl̓x̌ʷəθət,h;¬≈ø;ƒ;t,√luxu,√luxw=that=PROG,covering self,
1305,hi’hul’xwuthut,hiʔhəl̓x̌ʷəθət,hi÷h;¬≈ø;ƒ;t,√luxu,√luxw=that=DIM=PROG,covering self (for ex a little person trying to cover self with blanket),
1306,luxwut,ləx̌ʷət,l;≈ø;t,√luxu,√luxw=t,cover it (with a blanket),
1307,luxwtun,ləx̌ʷtən,l;≈øt;n,√luxu,√luxw=ten,blanket," This was the ordinary, inner cedar bark blanket."
1308,hulixwtun,həlix̌ʷtən,h;li≈øt;n,√luxu,√luxw=ten=PL,blankets,
1309,lil’xwtun’,lil̓x̌ʷtən̓,li¬≈øt;∫,√luxu,√luxw=ten=DIM,blanket DIM (little blanket),
1310,sluxwe’lh,sləx̌ʷel̓h,sl;≈øe¬h,√luxu,s=√luxw=uylh,blanket: baby blanket,
1311,sliim,sli:m,sli:m,√liim,s=√liim,goose: wild geese (when in flying formation),
1312,tun’sliim,tən̓sli:m,t;∫sli:m,√liim,tun’=s=√liim,time in the fall when wild geese move in formation,
1313,liimus,li:məs,li:m;s,√liim,√liim=as,April,
1314,lila’,lilaʔ,lila÷,√lila’,√lila’,salmonberry,
1315,liloot,lilu:t,lilu:t,√liloot,√liloot,train,
1316,liqw,liqʷ,liqø,√liqw,√liqw,"calm (wind); smooth (water); loose (string, rope, etc",
1317,sli’luqw,slil̓əqʷ,sli¬;qø,√liqw,s=√liqw=STA,"calm (water), slack (tide or rope)",
1318,seeli’luqw,se:lil̓əqʷ,se:li¬;qø,√liqw,s=√liqw=DIM=STA,"calm, slack DIM",
1319,liqwum,liqʷəm,liqø;m,√liqw,√liqw=m,"calm: get calm (water, weather)",See also liqwul.
1320,liqwul,liqʷəl,liqø;l,√liqw,√liqw=il,"calm: get calm (water, weather)",See also liqwum.
1321,sliqwul,sliqʷəl,sliqø;l,√liqw,s=√liqw=il,calm: wind dies down and water is calm,
1322,li’luqwum’,lil̓əqʷəm̓,li¬;qø;µ,√liqw,√liqw=m=PROG,"calm: getting calm (water, weather)",
1323,yu li’luqwum’,yə lil̓əqʷəm̓,y; li¬;qø;µ,√liqw,yu √liqw=m=PROG,"calm: getting calm (water, wind)",
1324,yu li’luqwul’,yə lil̓əqʷəl̓,y; li¬;qø;¬,√liqw,yu √liqw=l=PROG,"calm: getting calm (water, wind)",
1325,lisek,lisek,lisek,√lisek,√lisek,sack,
1326,lulusek,lələsek,l;l;sek,√lisek,√lisek=PL,sacks,
1327,liyam,liyam,liyam,√liyam,√liyam,devil,
1328,lhakw’,ɫak̓ʷ,®a˚ø,√lhakw’,√lhakw’,fly (verb),
1329,lhalhukw’,ɫaɫək̓ʷ,®a®;˚ø,√lhakw’,√lhakw’=PROG,flying; airplane,
1330,lhulha’lhukw’,ɫəɫal̓hək̓ʷ,®;®a¬h;˚ø,√lhakw’,√lhakw’=DIM=PROG,flying DIM,
1331,lhi’lhulha’lhukw’,ɫil̓həɫal̓hək̓ʷ,®i¬h;®a¬h;˚ø,√lhakw’,√lhakw’=DIM=DIM=PROG,flying DIM,
1332,lhul’a’lhukw’,ɫəl̓al̓hək̓ʷ,®;¬a¬h;˚ø,√lhakw’,√lhakw’=DIM=PL,fly (verb) DIM PL,
1333,lhul’ilhulha’lhukw’,ɫəl̓iɫəɫal̓hək̓ʷ,®;¬i®;®a¬h;˚ø,√lhakw’,√lhakw’=DIM=DIM=PL=PROG,flying DIM PL,
1334,slhulnuts,sɫəlnəc,s®;ln;c,√lhal,s=√lhal=nets,buttocks,
1335,slhalhul’nuts,sɫaɫəln̓əc,s®a®;l∫;c,√lhal,s=√lhal=nets=DIM,buttocks DIM,
1336,slhap’,sɫap̓,s®aπ,√lhap’,s=√lhap’,soup,
1337,lhaqw’ut,ɫaq̓ʷət,®aœø;t,√lhaqw’,√lhaqw’=t,"tap, pat (with open hand)",
1338,hwlhaqw’ust,xʷɫaq̓ʷəst,xø®aœø;st,√lhaqw’,hw=√lhaqw’=as=t,slap,
1339,hwlha’luqw’ust,xʷɫal̓əq̓ʷəst,xø®a¬;œø;st,√lhaqw’,hw=√lhaqw’=as=t=PL,slap on the face PL,
1340,hwlhul’lhul’uqw’ust,xʷɫəll̓həl̓əq̓ʷəst,xø®;l¬h;¬;œø;st,√lhaqw’,hw=√lhaqw’=as=t=PL=PL,slap repeatedly on the face,
1341,hwlhalhuqw’ust,xʷɫaɫəq̓ʷəst,xø®a®;œø;st,√lhaqw’,hw=√lhaqw’=as=t=PROG,slapping someone on the face,
1342,lhulhqw’uwe’lht,ɫəɫq̓ʷəwel̓ht,®;®œø;we¬ht,√lhaqw’,√lhaqw’=uwe’lh=t=PROG,slapping someone on the side of the back,
1343,lhasut,ɫasət,®as;t,√lhas,√lhas=t,slip behind them (for ex in racing); slide it down,
1344,lhasuthut,ɫasəθət,®as;ƒ;t,√lhas,√lhas=that,slip behind (for ex racing); slide down,
1345,lhasum,ɫasəm,®as;m,√lhas,√lhas=m,slip down (for ex skirt),
1346,lhalhutth’,ɫaɫət̓ᶿ,®a®;˙,√lhatth’,√lhatth’=RDP,"sores, itchy sores (exzema, impetigo)",
1347,slha’lhtth’a’qw,sɫal̓ht̓ᶿaʔqʷ,s®a¬h˙a÷qø,√lhatth’,s=√lhatth’=a’qw=RDP,scabby head,
1348,lhtsiws,ɫciws,®ciws,√lhtsiws,√lhtsiws,tired: get tired,
1349,slhtsiw’s,sɫciw̓s,s®ciΣs,√lhtsiws,s=√lhtsiws=STA,tired: be tired,
1350,slhe’lhtsiw’s,sɫel̓hciw̓s,s®e¬hciΣs,√lhtsiws,s=√lhtsiws=STA=DIM,tired DIM,
1351,lhu,ɫə,®;,√lhu,√lhu,command,A particle used (optionally) in commands.
1352,lhets,ɫec,®ec,√lhets,√lhets,dark,
1353,lhatsthut,ɫacθət,®acƒ;t,√lhets,√lhets=that,dark: get dark,
1354,yu lhalhutsthut,yə ɫaɫəcθət,y; ®a®;cƒ;t,√lhets,yu √lhets=that=PROG,dark: getting dark," Also yuhwun'nut, getting evening  √net."
1355,lhtsalus,ɫcaləs,®cal;s,√lhets,√lhets=alus,dark coloured,
1356,lhtseluqup,ɫceləqəp,®cel;q;p,√lhets,√lhets=eluqup,"smell is almost gone or the noise almost gone, faint sound",
1357,hwlhetsuqun,xʷɫecəqən,xø®ec;q;n,√lhets,hw=√lhets=uqun,"dark place (a corner, enclosed place)",
1358,lhets’tun,ɫec̓tən,®eçt;n,√lhets,√lhets’=ten,"beater, to pound bleach into swuqw'a'lh",Note the first vowel.  Root uncertain.
1359,lheel,ɫe:l,®e:l,√lheel,√lheel,"shore: come to shore, go from centre to the side of the longhouse"," Possibly √lhe-il.  See also hwiwul, come to shore, go to centre of long house, and taal, go out from shore."
1360,lhulheel’,ɫəɫe:l̓,®;®e:¬,√lheel,√lheel=PROG,shore: going ashore,
1361,lhulhi’lheel’,ɫəɫil̓he:l̓,®;®i¬he:¬,√lheel,√lheel=DIM=PROG,shore: going ashore DIM,
1362,lheelstuhw,ɫe:lstəxʷ,®e:lst;xø,√lheel,√lheel=stuhw,"shore: beach it, take to shore",Also lhelstuhw.
1363,lheelustum,ɫe:ləstəm,®e:l;st;m,√lheel,√lheel=stuhw=m,"shore: beached, brought to shore"," Also pronounced lheelstum, lhaalstum, lhelustum."
1364,slhelhul’t,sɫeɫəl̓t,s®e®;¬t,√lheel,s=√lheel=t=STA,shore: beached but still in water,
1365,hun’lhelt,hənl̓helt,h;n¬helt,√lheel,hun’=√lheel=t,shore: get ashore,
1366,slhekw’um,sɫek̓ʷəm,s®e˚ø;m,√lhekw’,s=√lhekw’=m,breath,
1367,lheelustuhw,ɫe:ləstəxʷ,®e:l;st;xø,√lhelu,√lhelu=stuhw,aside: bring away from the middle of the floor," Root uncertain, see [√lhel']."
1368,lhul’ilumstum,ɫəl̓iləmstəm,®;¬il;mst;m,√lhelu,√lhelu=il=m=stuhw=m(,aside: bring away from the middle of the floor PASS," Root uncertain, see [√lhel']."
1369,lhulhel’,ɫəɫel̓,®;®e¬,√lhel’,√lhel’=STA,"back of, be in the back",
1370,lhel’sh,ɫel̓š,®e¬ß,√lhel’,√lhel’=sh,aside: move it back; put it aside; move it toward the fire,
1371,lhelhul’sh,ɫeɫəl̓š,®e®;¬ß,√lhel’,√lhel’=sh=PROG,aside: moving it toward the fire,
1372,lhel’tham’sh,ɫel̓θam̓š,®e¬ƒaµß,√lhel’,√lhel’=t=am’sh,"aside: move me aside, take me off",
1373,lhelhul’tha’mu,ɫeɫəl̓θam̓ə,®e®;¬ƒaµ;,√lhel’,√lhel’=t=amu=PROG,aside: moving you aside,
1374,lhul’ilum,ɫəl̓iləm,®;¬il;m,√lhel’,√lhel’=il=m,"aside: move closer to the wall, to the side",Go from the centre of the longhouse to the side.
1375,slhulhal’we’lh,sɫəɫalw̓el̓h,s®;®alΣe¬h,√lhel’,s=√lhel’=al’we’lh,aside: on the other side,
1376,lhaal’we’st,ɫa:lw̓eʔst,®a:lΣe÷st,√lhel’,√lhel’=al’we’s=t,"aside, towards the wall: turn someone's side to the wall",Note the truncation.
1377,lhulhal’wil’t,ɫəɫalw̓il̓t,®;®alΣi¬t,√lhel’,√lhel’=al’wil=t=RDP,behind: put it behind,
1378,lhulha’lus,ɫəɫal̓əs,®;®a¬;s,√lhel’,√lhel’=as=PROG,"aside, towards the wall: facing the wall",
1379,hwlha’lust,xʷɫal̓əst,xø®a¬;st,√lhel’,hw=√lhel’=as=t,"aside, towards the wall: face the baby so its head is to the wall",
1380,lha’la’qwt,ɫal̓aʔqʷt,®a¬a÷qøt,√lhel’,√lhel’=a’qw=t,"aside, towards the wall: turn someone face toward the wall",
1381,lha’la’qwulhtsum,ɫal̓aʔqʷəɫcəm,®a¬a÷qø;®c;m,√lhel’,√lhel’=a’qw=lhts=m,"aside, towards the wall: turn someone's face toward the wall for me",
1382,lhul’shenum,ɫəl̓šenəm,®;¬ßen;m,√lhel’,√lhel’=shen=m,aside: pull your feet back,
1383,lhulhul’she’num’,ɫəɫəl̓šen̓əm̓,®;®;¬ße∫;µ,√lhel’,√lhel’=shen=m=PROG,aside: pulling your feet back,
1384,slheni’,sɫeniʔ,s®eni÷,√lheni’,s=√lheni’,woman,
1385,slhunlheni’,sɫənɫeniʔ,s®;n®eni÷,√lheni’,s=√lheni’=PL,women,
1386,slhelhni’,sɫeɫniʔ,s®e®ni÷,√lheni’,s=√lheni’=DIM,"girl, little woman",
1387,slhani’stum,sɫaniʔstəm,s®ani÷st;m,√lheni’,s=√lheni’=stuhw=m,woman: made into a woman,
1388,slhuni’een’sulh,sɫəniʔe:n̓səɫ,s®;ni÷e:∫s;®,√lheni’,s=√lheni’=een’s=ulh,one girl in a family of boys (past),
1389,lhelhuqut,ɫeɫəqət,®e®;q;t,√lheq,√lheq=t=PROG,whispering to,
1390,lhelhuqutham’sh,ɫeɫəqəθam̓š,®e®;q;ƒaµß,√lheq,√lheq=t=sam’sh=PROG,whispering to me,
1391,lhelhuqutal’hw,ɫeɫəqətal̓xʷ,®e®;q;ta¬xø,√lheq,√lheq=t=al’hw=PROG,whispering to us,
1392,lhelhuqutum’,ɫeɫəqətəm̓,®e®;q;t;µ,√lheq,√lheq=t=m=PROG,whisper: be whispered to,
1393,lhelhuquthe’lum’,ɫeɫəqəθel̓əm̓,®e®;q;ƒe¬;µ,√lheq,√lheq=t=sel=m=PROG,whispering to me,
1394,lhelhuquta’lum’,ɫeɫəqətal̓əm̓,®e®;q;ta¬;µ,√lheq,√lheq=t=alum=PROG,whispering to us PASS,
1395,lhequm,ɫeqəm,®eq;m,√lheq,√lheq=m,whisper,
